"field_kOe","time_ps","signal"
15,15.62392,0.082618
15,15.89135,0.0813561
15,16.15879,0.0793022
15,16.42622,0.0752503
15,16.69365,0.0719247
15,16.96108,0.0668264
15,17.22852,0.0669298
15,17.49595,0.0636984
15,17.76338,0.0584506
15,18.03082,0.0542565
15,18.29825,0.0540894
15,18.56568,0.0507099
15,18.83312,0.0497533
15,19.10055,0.0508653
15,19.36798,0.0489667
15,19.63541,0.0463339
15,19.90285,0.047525
15,20.17028,0.0475395
15,20.43771,0.0484874
15,20.70515,0.0474511
15,20.97258,0.0491379
15,21.24001,0.0529089
15,21.50745,0.0556552
15,21.77488,0.0533557
15,22.04231,0.0540196
15,22.30974,0.0539464
15,22.57718,0.0548418
15,22.84461,0.0522881
15,23.11204,0.0511685
15,23.37948,0.0495999
15,23.64691,0.055806
15,23.91434,0.0613716
15,24.18178,0.0654944
15,24.44921,0.07485
15,24.71664,0.0707852
15,24.98408,0.0611269
15,25.25151,0.0623331
15,25.51894,0.0589102
15,25.78637,0.06111
15,26.05381,0.0601741
15,26.32124,0.0615353
15,26.58867,0.0614153
15,26.85611,0.060744
15,27.12354,0.0608012
15,27.39097,0.054425
15,27.6584,0.0571753
15,27.92584,0.0557245
15,28.19327,0.0511943
15,28.4607,0.0518874
15,28.72814,0.0502365
15,28.99557,0.0449142
15,29.263,0.0447287
15,29.53044,0.0441891
15,29.79787,0.0398323
15,30.0653,0.0406246
15,30.33274,0.0378966
15,30.60017,0.0346554
15,30.8676,0.0327611
15,31.13503,0.0307852
15,31.40247,0.036193
15,31.6699,0.0324121
15,31.93733,0.0314159
15,32.20477,0.0312301
15,32.4722,0.0284763
15,32.73963,0.031731
15,33.00706,0.0299471
15,33.2745,0.0286212
15,33.54193,0.0213052
15,33.80936,0.015241
15,34.0768,0.0103617
15,34.34423,0.00909627
15,34.61166,0.0071869
15,34.8791,0.00620453
15,35.14653,0.00552134
15,35.41396,0.0115795
15,35.6814,0.0171544
15,35.94883,0.0210431
15,36.21626,0.0202823
15,36.48369,0.0203168
15,36.75113,0.0219184
15,37.01856,0.0147872
15,37.28599,0.0113208
15,37.55343,0.0109254
15,37.82086,0.0121297
15,38.08829,0.0148127
15,38.35572,0.00870275
15,38.62316,0.0096029
15,38.89059,0.0140285
15,39.15802,0.0124605
15,39.42546,0.0111507
15,39.69289,0.0132408
15,39.96032,0.0153096
15,40.22776,0.015892
15,40.49519,0.0141395
15,40.76262,0.0164967
15,41.03005,0.0168274
15,41.29749,0.0172027
15,41.56492,0.018303
15,41.83235,0.0189666
15,42.09979,0.0213273
15,42.36722,0.0202917
15,42.63465,0.0191792
15,42.90209,0.0217211
15,43.16952,0.023462
15,43.43695,0.0252855
15,43.70438,0.0256058
15,43.97182,0.0245109
15,44.23925,0.0281242
15,44.50668,0.0238574
15,44.77412,0.0209715
15,45.04155,0.0208986
15,45.30898,0.0229954
15,45.57642,0.022901
15,45.84385,0.0229611
15,46.11128,0.024331
15,46.37872,0.0222145
15,46.64615,0.0202443
15,46.91358,0.0185642
15,47.18101,0.0218568
15,47.44845,0.0213153
15,47.71588,0.0205985
15,47.98331,0.0220953
15,48.25075,0.0177857
15,48.51818,0.0188457
15,48.78561,0.0153005
15,49.05304,0.0134136
15,49.32048,0.011987
15,49.58791,0.0145815
15,49.85534,0.0132492
15,50.12278,0.0100395
15,50.39021,0.0137979
15,50.65764,0.0110603
15,50.92508,0.00989119
15,51.19251,0.0128594
15,51.45994,0.0082409
15,51.72738,0.00345315
15,51.99481,0.00785534
15,52.26224,0.00499869
15,52.52967,0.00401685
15,52.79711,0.00398792
15,53.06454,0.000393413
15,53.33197,0.00373548
15,53.59941,0.00439832
15,53.86684,0.00300524
15,54.13427,0.000780362
15,54.4017,-0.00328024
15,54.66914,-0.00177911
15,54.93657,-0.00416147
15,55.204,0.00153953
15,55.47144,0.00238637
15,55.73887,0.00198695
15,56.0063,0.00332112
15,56.27374,0.0024757
15,56.54117,0.00161906
15,56.8086,0.00644663
15,57.07604,0.00500164
15,57.34347,0.00207417
15,57.6109,0.00521127
15,57.87833,0.0083608
15,58.14577,0.00221692
15,58.4132,0.00826372
20,-1.759225,0.000161374
20,-1.491792,0.000846082
20,-1.224359,-0.000517091
20,-0.956926,-0.0038555
20,-0.689493,0.0194561
20,-0.42206,0.0960225
20,-0.154627,0.223905
20,0.112806,0.460762
20,0.380239,0.768554
20,0.647672,0.999986
20,0.915105,0.970207
20,1.182538,0.867958
20,1.449971,0.794663
20,1.717404,0.709495
20,1.984837,0.639095
20,2.25227,0.58628
20,2.519703,0.548033
20,2.787136,0.51839
20,3.054569,0.479692
20,3.322002,0.445545
20,3.589435,0.420561
20,3.856868,0.394539
20,4.124301,0.377453
20,4.391734,0.360472
20,4.659167,0.349163
20,4.9266,0.332842
20,5.194033,0.317842
20,5.461466,0.307366
20,5.728899,0.294865
20,5.996332,0.278445
20,6.263765,0.26127
20,6.531198,0.248966
20,6.798631,0.234479
20,7.066064,0.219805
20,7.333497,0.21717
20,7.60093,0.214673
20,7.868363,0.202995
20,8.135796,0.192948
20,8.403229,0.18028
20,8.670662,0.171161
20,8.938095,0.162061
20,9.205528,0.15561
20,9.472961,0.150708
20,9.740394,0.143371
20,10.00783,0.144184
20,10.27526,0.136665
20,10.54269,0.12976
20,10.81013,0.12525
20,11.07756,0.116865
20,11.34499,0.109027
20,11.61242,0.100425
20,11.87986,0.0908027
20,12.14729,0.0844975
20,12.41472,0.0769882
20,12.68216,0.0697091
20,12.94959,0.0614221
20,13.21702,0.0557811
20,13.48446,0.0547437
20,13.75189,0.0507721
20,14.01932,0.0462339
